Ind,Species,Sex,Year,FID,Disturbance,Fledglings
PD1,Passer_domesticus,male,2013,5,8,1
PD1,Passer_domesticus,male,2014,2,40,4
PD1,Passer_domesticus,male,2015,8,30,4
PD2,Passer_domesticus,female,2013,10,35,3
PD2,Passer_domesticus,female,2014,10,15,0
PD2,Passer_domesticus,female,2015,6,6,2
PD3,Passer_domesticus,male,2013,4,49,0
PD3,Passer_domesticus,male,2014,10,11,3
PD3,Passer_domesticus,male,2015,8,9,2
PD4,Passer_domesticus,female,2013,2,44,2
PD4,Passer_domesticus,female,2014,10,45,2
PD4,Passer_domesticus,female,2015,8,50,3
PD5,Passer_domesticus,male,2013,10,47,2
PD5,Passer_domesticus,male,2014,3,19,4
PD5,Passer_domesticus,male,2015,9,43,2
PD6,Passer_domesticus,female,2013,3,35,5
PD6,Passer_domesticus,female,2014,3,12,4
PD6,Passer_domesticus,female,2015,7,50,0
PD7,Passer_domesticus,male,2013,8,39,2
PD7,Passer_domesticus,male,2014,10,24,4
PD7,Passer_domesticus,male,2015,2,13,2
PD8,Passer_domesticus,female,2013,7,47,1
PD8,Passer_domesticus,female,2014,10,31,4
PD8,Passer_domesticus,female,2015,4,18,0
PD9,Passer_domesticus,male,2013,1,42,0
PD9,Passer_domesticus,male,2014,9,15,0
PD9,Passer_domesticus,male,2015,9,9,0
PD10,Passer_domesticus,female,2013,4,24,4
PD10,Passer_domesticus,female,2014,9,20,3
PD10,Passer_domesticus,female,2015,8,20,5
PD11,Passer_domesticus,male,2013,9,29,1
PD11,Passer_domesticus,male,2014,2,41,3
PD11,Passer_domesticus,male,2015,7,9,2
PD12,Passer_domesticus,female,2013,8,14,0
PD12,Passer_domesticus,female,2014,9,11,4
PD12,Passer_domesticus,female,2015,3,13,4
PD13,Passer_domesticus,male,2013,2,5,1
PD13,Passer_domesticus,male,2014,4,35,0
PD13,Passer_domesticus,male,2015,2,21,3
PD14,Passer_domesticus,female,2013,1,50,5
PD14,Passer_domesticus,female,2014,6,26,5
PD14,Passer_domesticus,female,2015,10,20,0
PD15,Passer_domesticus,male,2013,8,29,4
PD15,Passer_domesticus,male,2014,2,11,2
PD15,Passer_domesticus,male,2015,8,6,3
PD16,Passer_domesticus,female,2013,6,18,3
PD16,Passer_domesticus,female,2014,1,20,1
PD16,Passer_domesticus,female,2015,6,19,5
PM1,Passer_montanus,male,2015,8,25,4
PM1,Passer_montanus,female,2013,13,26,5
PM1,Passer_montanus,female,2014,7,42,5
PM2,Passer_montanus,female,2015,15,21,4
PM2,Passer_montanus,male,2013,13,25,6
PM2,Passer_montanus,male,2014,16,5,2
PM3,Passer_montanus,male,2015,1,7,4
PM3,Passer_montanus,female,2013,1,15,1
PM3,Passer_montanus,female,2014,5,23,1
PM4,Passer_montanus,female,2015,4,7,6
PM4,Passer_montanus,male,2013,2,35,1
PM4,Passer_montanus,male,2014,9,22,5
PM5,Passer_montanus,male,2015,2,30,4
PM5,Passer_montanus,female,2013,10,16,2
PM5,Passer_montanus,female,2014,12,10,3
PM6,Passer_montanus,female,2015,7,24,5
PM6,Passer_montanus,male,2013,7,36,4
PM6,Passer_montanus,male,2014,14,23,6
PM7,Passer_montanus,male,2015,7,15,3
PM7,Passer_montanus,female,2013,11,42,6
PM7,Passer_montanus,female,2014,9,16,5
PM8,Passer_montanus,female,2015,4,11,5
PM8,Passer_montanus,male,2013,7,44,3
PM8,Passer_montanus,male,2014,17,16,3
PM9,Passer_montanus,male,2015,18,5,1
PM9,Passer_montanus,female,2013,8,13,0
PM9,Passer_montanus,female,2014,1,46,3
PM10,Passer_montanus,female,2015,11,25,3
PM10,Passer_montanus,male,2013,3,48,3
PM10,Passer_montanus,male,2014,20,33,6
PM11,Passer_montanus,male,2015,12,19,6
PM11,Passer_montanus,female,2013,12,50,0
PM11,Passer_montanus,female,2014,2,37,0
PM12,Passer_montanus,female,2015,4,42,6
PM12,Passer_montanus,male,2013,6,17,0
PM12,Passer_montanus,male,2014,8,36,1
PM13,Passer_montanus,male,2015,8,46,4
PM13,Passer_montanus,female,2013,12,30,0
PM13,Passer_montanus,female,2014,2,19,6
PM14,Passer_montanus,female,2015,3,22,0
PM14,Passer_montanus,male,2013,18,34,6
PM14,Passer_montanus,male,2014,1,40,3
PM15,Passer_montanus,male,2015,17,44,0
PM15,Passer_montanus,female,2013,7,50,6
PM15,Passer_montanus,female,2014,16,33,4
PM16,Passer_montanus,female,2015,15,37,5
PM16,Passer_montanus,male,2013,20,29,4
PM16,Passer_montanus,male,2014,4,48,5
FC1,Fringilla_coelebs,female,2014,19,23,2
FC1,Fringilla_coelebs,female,2015,29,19,1
FC1,Fringilla_coelebs,male,2013,17,15,3
FC2,Fringilla_coelebs,male,2014,20,21,4
FC2,Fringilla_coelebs,male,2015,10,5,2
FC2,Fringilla_coelebs,female,2013,29,18,1
FC3,Fringilla_coelebs,female,2014,19,49,3
FC3,Fringilla_coelebs,female,2015,20,35,0
FC3,Fringilla_coelebs,male,2013,16,26,3
FC4,Fringilla_coelebs,male,2014,12,22,1
FC4,Fringilla_coelebs,male,2015,26,44,4
FC4,Fringilla_coelebs,female,2013,16,16,4
FC5,Fringilla_coelebs,female,2014,24,36,4
FC5,Fringilla_coelebs,female,2015,30,48,0
FC5,Fringilla_coelebs,male,2013,24,35,2
FC6,Fringilla_coelebs,male,2014,27,16,2
FC6,Fringilla_coelebs,male,2015,17,20,1
FC6,Fringilla_coelebs,female,2013,21,22,4
FC7,Fringilla_coelebs,female,2014,12,9,0
FC7,Fringilla_coelebs,female,2015,20,17,1
FC7,Fringilla_coelebs,male,2013,21,22,2
FC8,Fringilla_coelebs,male,2014,18,38,4
FC8,Fringilla_coelebs,male,2015,17,47,0
FC8,Fringilla_coelebs,female,2013,21,28,0
FC9,Fringilla_coelebs,female,2014,19,50,0
FC9,Fringilla_coelebs,female,2015,29,32,0
FC9,Fringilla_coelebs,male,2013,29,21,1
FC10,Fringilla_coelebs,male,2014,24,23,0
FC10,Fringilla_coelebs,male,2015,30,7,2
FC10,Fringilla_coelebs,female,2013,18,28,2
FC11,Fringilla_coelebs,female,2014,21,12,2
FC11,Fringilla_coelebs,female,2015,5,9,0
FC11,Fringilla_coelebs,male,2013,30,10,0
FC12,Fringilla_coelebs,male,2014,18,10,0
FC12,Fringilla_coelebs,male,2015,22,41,2
FC12,Fringilla_coelebs,female,2013,21,32,2
FC13,Fringilla_coelebs,female,2014,24,42,1
FC13,Fringilla_coelebs,female,2015,22,49,2
FC13,Fringilla_coelebs,male,2013,21,47,0
