Site,Month,Transect,Trout,Perch,Stickleback
River1,January,1,10,5,28
River1,January,2,0,13,42
River1,January,3,8,19,9
River2,January,1,3,5,72
River2,January,2,2,9,33
River2,January,3,15,24,65
River1,February,1,2,12,47
River1,February,2,7,3,69
River1,February,3,0,0,23
River2,February,1,11,8,89
River2,February,2,2,22,13
River2,February,3,7,2,15
River1,March,1,11,3,30
River1,March,2,9,5,26
River1,March,3,4,25,24
River2,March,1,1,7,29
River2,March,2,8,3,40
River2,March,3,10,20,37
River1,April,1,1,23,5
River1,April,2,2,17,54
River1,April,3,15,4,31
River2,April,1,0,12,11
River2,April,2,12,6,31
River2,April,3,6,14,14
