Site,Month,Mean_water_temp,Mean_O2_content
River1,January,3.6,12.6
River1,February,2.3,9.8
River1,March,5.7,11.8
River1,April,9.2,10
River1,May,11.5,10.1
River1,June,14.5,9.3
River1,July,15.3,8.8
River1,August,15.2,9
River1,September,14.6,9.2
River1,October,11.4,9.9
River1,November,5.2,10.3
River1,December,2.7,12.9
River2,January,6.2,12
River2,February,8,12.3
River2,March,11.4,11.5
River2,April,15.1,9.7
River2,May,20.7,8.2
River2,June,23.5,7.9
River2,July,23.7,8
River2,August,22.9,8.2
River2,September,22.5,9.1
River2,October,16.7,9.6
River2,November,12.4,11.2
River2,December,7.1,12.5
